,four,one,three,two
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7606698-Reviews-Des_Mots_et_Des_Arts-Paris_Ile_de_France.html,Des Mots et Des Arts,"Visites culturelles, Visites privées",199
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11718632-Reviews-My_Urban_Experience-Paris_Ile_de_France.html,My Urban Experience,Visites de la ville,278
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5851367-Reviews-Paris_Balade-Paris_Ile_de_France.html,Paris Balade,Visites guidées,81
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d497418-Reviews-O_Chateau_Wine_Tasting-Paris_Ile_de_France.html,Dégustation de vins à Paris,"Cours et ateliers, Oenotourisme ",1232
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7626167-Reviews-HelpTourists-Paris_Ile_de_France.html,HelpTourists,Visites culturelles,66
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4547951-Reviews-Visites_Spectacles-Paris_Ile_de_France.html,Visites-Spectacles,Visites guidées,352
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3202025-Reviews-Millesiwine_Wine_Tasting-Paris_Ile_de_France.html,Millesiwine Wine Tasting,Oenotourisme ,101
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7104448-Reviews-Bustronome_Paris-Paris_Ile_de_France.html,Bustronome,Visites en bus,631
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1955376-Reviews-Mont_Saint_Michel_Normandy_Tour_Emi_Travel_Paris-Paris_Ile_de_France.html,Mont Saint-Michel & Normandy Tour - Emi Travel Paris,Visites guidées,396
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d13536747-Reviews-Aime_Paris-Paris_Ile_de_France.html,Aime Paris,Visites culturelles,54
